Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.15574296864304,0.25090625062732,0.235076139553237,0,0,0,1845.63092770644,347.000686482479,7.0242702233582E-07,1.47566858487164E-06,393.235048089486,-0.000180676144602403,346.993091857669,0,0,0,0,0,0,package://engineer_0520_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/base_link.STL,,0-总装-1;机械臂固定上板-1;机械臂-J0装配体-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
J1_link,-0.0187536614195956,0.132069580136279,0.000197561285718323,0,0,0,2.01551628733357,0.0105697583079727,-9.82312126860049E-07,9.68727270818069E-07,0.0012445175584642,2.03452664199397E-05,0.00964014877895151,0,0,0,0,0,0,package://engineer_0520_description/meshes/J1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/J1_link.STL,,机械臂-J1装配体-1,link_J1,joint_1,J1_joint,revolute,0,0.1315,0.132,0,0,0,base_link,0,1,0,9,20,-3,3,,,,,,,,
J2_link,-0.0272444412408289,0.237454011381441,6.73891861327769E-05,0,0,0,1.5324502721387,0.00593383574667708,-2.94416883919934E-09,4.78295159906094E-07,0.0011293748733648,1.35372771031177E-06,0.00517042153986259,0,0,0,0,0,0,package://engineer_0520_description/meshes/J2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/J2_link.STL,,机械臂-J2装配体-1,link_J2,joint_2,J2_joint,revolute,0.019,0.09,0,0,0,0,J1_link,-1,0,0,24,20,-1,1,,,,,,,,
J3_link,0.000246150730100224,0.0696837478174211,-0.0145365067280068,0,0,0,0.637441970527478,0.00271328583847924,7.26213212632554E-10,1.74819116642235E-07,0.00027441567972836,1.07057531147903E-06,0.0025837902810134,0,0,0,0,0,0,package://engineer_0520_description/meshes/J3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/J3_link.STL,,机械臂-J3装配体-G3-1,link_J3,joint_3,J3_joint,revolute,-0.0005,0.32,0,0,0,0,J2_link,-1,0,0,12,20,-2.62,1.7,,,,,,,,
J4_link,-0.00181738524803158,0.031346229412983,9.83436362550494E-05,0,0,0,0.178639999994294,7.5266473654563E-05,1.78728148504234E-08,3.03867212142531E-08,3.62165400431792E-05,-2.2016577990914E-08,5.0139024590417E-05,0,0,0,0,0,0,package://engineer_0520_description/meshes/J4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/J4_link.STL,,机械臂-J4装配体-G5-1,link_J4,joint_4,J4_joint,revolute,0,0.28070210853372,0,0,0,0,J3_link,0,-1,0,4,20,-3.14,3.14,,,,,,,,
J5_link,-0.000818589722430721,0.0336820874514009,-0.000358450127793009,0,0,0,0.114681497965425,2.93631674509271E-05,4.18472244802698E-09,2.20706578949005E-08,3.80349209787703E-05,4.35573494198617E-08,2.7086932663539E-05,0,0,0,0,0,0,package://engineer_0520_description/meshes/J5_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/J5_link.STL,,0-J5装配体-G2-1,link_J5,joint_5,J5_joint,revolute,0,0.0442978914662795,0,0,0,0,J4_link,-1,0,0,5,20,-2,2,,,,,,,,
J6_link,-7.36099122376627E-05,-0.00792453225189915,1.94377710707183E-05,0,0,0,0.274222052705575,2.7933241040805E-05,-3.37298349477692E-08,6.90052701435227E-08,9.61910417664122E-05,-7.97777742518918E-09,7.80592654053116E-05,0,0,0,0,0,0,package://engineer_0520_description/meshes/J6_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/J6_link.STL,,装配体-机械臂夹爪-G4-1,link_J6,joint_6,J6_joint,revolute,0,0.1179,0,0,0,0,J5_link,0,1,0,4,20,-3.14,3.14,,,,,,,,
claw1_link,0.0377332068105226,-0.0102196163488086,-0.0170292088704908,0,0,0,0.163350850695426,9.9090701762021E-05,-1.24240348696389E-05,-2.27437709943838E-08,3.83929113442839E-05,1.27777079618242E-07,7.99823961402051E-05,0,0,0,0,0,0,package://engineer_0520_description/meshes/claw1_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/claw1_link.STL,,铝CNC-夹爪爪子-G2-1,link_Claw1,joint_7,claw1_joint,prismatic,-0.0146,0.055,0.01556,0,0,0,J6_link,-1,0,0,10,0.3,-0.06,0,,,,,,,,
claw2_link,-0.037733206810525,-0.0102196163488086,0.0170292088704905,0,0,0,0.163350850695426,9.90907017620209E-05,1.2424034869639E-05,-2.27437709945702E-08,3.8392911344284E-05,-1.27777079618117E-07,7.99823961402051E-05,0,0,0,0,0,0,package://engineer_0520_description/meshes/claw2_link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/claw2_link.STL,,铝CNC-夹爪爪子-G2-2,link_Claw2,joint_7,claw2_joint,prismatic,0.0146,0.055,-0.01556,0,0,0,J6_link,-1,0,0,10,0.3,0,0.06,,,,,,,,
camera_link,-0.0191656541034804,-0.419838670187965,-0.0243780259109728,0,0,0,20.7907911627569,2.0459324640404,0.00333036757283835,0.0734262663039674,0.990870352884288,0.268063547882842,2.13841873971876,0,0,0,0,0,0,package://engineer_0520_description/meshes/camera_link.STL,0.196078431372549,0.196078431372549,0.196078431372549,1,0,0,0,0,0,0,package://engineer_0520_description/meshes/camera_link.STL,,官方-新图传模块-1,link_Camera,Axis_camera_joint,camera_joint,fixed,0,0.0310661457422743,-0.0731345949539173,0,0,0,J3_link,0,0,0,,,,,,,,,,,,
